Name2,Season,Season_num,PrevSeason_num,Cum_code,Team,Key,Type,Nationality,Overseas_player,WK,Star_player,Active_T20I,Price,Cum_LY_bat_I,Cum_LY_bat_R,Cum_LY_bat_B,Cum_LY_bat_Outs,Cum_LY_bat_Avg,Cum_LY_bat_SR,Cum_LY_bat_4s,Cum_LY_bat_6s,Cum_LY_bat_30plus,Cum_LY_bat_50plus,Cum_LY_bat_100plus,Cum_LY_bowl_I,Cum_LY_bowl_B,Cum_LY_bowl_R,Cum_LY_bowl_W,Cum_LY_bowl_Econ,Cum_LY_bowl_Avg,Cum_LY_bowl_SR,Cum_LY_bowl_4W,Cum_LY_bowl_5W,Cum_LY_bowl_4s,Cum_LY_bowl_6s,Cum_LY_bowl_Dots,Cum_LY_Bat_I,Cum_LY_HardHitter,Cum_LY_Finisher%,Cum_LY_46_scored,Cum_LY_Bat_avg,Cum_LY_50plus_scored,Cum_LY_RBW,Cum_LY_Bowl_I,Cum_LY_Bowl_Econ,Cum_LY_Bowl_Avg,Cum_LY_Bowl _SR,Cum_LY_BW Taker,Cum_LY_bowl_46_conc,Cum_LY_bowl_Dots%,Cum_IPL_agg_bat_I,Cum_IPL_agg_bat_R,Cum_IPL_agg_bat_B,Cum_IPL_agg_bat_Outs,Cum_IPL_agg_bat_Avg,Cum_IPL_agg_bat_SR,Cum_IPL_agg_bat_4s,Cum_IPL_agg_bat_6s,Cum_IPL_agg_bat_30plus,Cum_IPL_agg_bat_50plus,Cum_IPL_agg_bat_100plus,Cum_IPL_agg_bowl_I,Cum_IPL_agg_bowl_B,Cum_IPL_agg_bowl_R,Cum_IPL_agg_bowl_W,Cum_IPL_agg_bowl_Econ,Cum_IPL_agg_bowl_Avg,Cum_IPL_agg_bowl_SR,Cum_IPL_agg_bowl_4W,Cum_IPL_agg_bowl_5W,Cum_IPL_agg_bowl_4s,Cum_IPL_agg_bowl_6s,Cum_IPL_agg_bowl_Dots,Cum_IPL_bat_DM_Bat_I,Cum_IPL_bat_DM_HardHitter,Cum_IPL_bat_DM_Finisher%,Cum_IPL_bat_DM_46_scored,Cum_IPL_bat_DM_Bat_avg,Cum_IPL_bat_DM_50plus_scored,Cum_IPL_bat_DM_RBW,Cum_IPL_bowl_DM_Bowl_I,Cum_IPL_bowl_DM_Bowl_Econ,Cum_IPL_bowl_DM_Bowl_Avg,Cum_IPL_bowl_DM_Bowl _SR,Cum_IPL_bowl_DM_BW Taker,Cum_IPL_bowl_DM_46_conc,Cum_IPL_bowl_DM_Dots%,Weighted_LY_bat_I,Weighted_LY_bat_R,Weighted_LY_bat_B,Weighted_LY_bat_Outs,Weighted_LY_bat_Avg,Weighted_LY_bat_SR,Weighted_LY_bat_4s,Weighted_LY_bat_6s,Weighted_LY_bat_30plus,Weighted_LY_bat_50plus,Weighted_LY_bat_100plus,Weighted_LY_bowl_I,Weighted_LY_bowl_B,Weighted_LY_bowl_R,Weighted_LY_bowl_W,Weighted_LY_bowl_Econ,Weighted_LY_bowl_Avg,Weighted_LY_bowl_SR,Weighted_LY_bowl_4W,Weighted_LY_bowl_5W,Weighted_LY_bowl_4s,Weighted_LY_bowl_6s,Weighted_LY_bowl_Dots,Weighted_LY_bat_Bat_I,Weighted_LY_bat_HardHitter,Weighted_LY_bat_Finisher%,Weighted_LY_bat_46_scored,Weighted_LY_bat_Bat_avg,Weighted_LY_bat_50plus_scored,Weighted_LY_bat_RBW,Weighted_LY_bowl_Bowl_I,Weighted_LY_bowl_Bowl_Econ,Weighted_LY_bowl_Bowl_Avg,Weighted_LY_bowl_Bowl _SR,Weighted_LY_bowl_BW Taker,Weighted_LY_bowl_46_conc,Weighted_LY_bowl_Dots%
T Thushara,2009,2,1,cum1,Chennai Super Kings,,Bowl,O,1,0,1,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
A Symonds,2009,2,1,cum1,Deccan Chargers,,AR,O,1,0,1,0,1350000,3,161,111,2,80.5,145.045045,15,9,2,1,1,3,44,106,0,14.45454545,0,0,0,0,6,9,9,3,0.216216216,0.333333333,145.045045,80.5,0.333333333,0.540229885,3,14.45454545,0,0,0,0.340909091,0.204545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,751.3333333,518,9.333333333,17.88888889,145.045045,70,42,9.333333333,4.666666667,4.666666667,42,205.3333333,494.6666667,0,14.45454545,0,0,0,0,28,42,42,42,0.216216216,0.777777778,145.045045,17.88888889,0.111111111,0.540229885,42,14.45454545,0,0,0,0.340909091,0.204545455
AC Gilchrist,2009,2,1,cum1,Deccan Chargers,,WK,O,1,1,1,0,700000,14,436,328,13,33.53846154,132.9268293,51,19,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0.213414634,0.071428571,132.9268293,33.53846154,0.285714286,0.457364341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,436,328,13,10.38095238,132.9268293,51,19,5,4,1,42,0,0,0,0,0,0,0,0,0,0,0,42,0.213414634,0.69047619,132.9268293,10.38095238,0.095238095,0.457364341,42,0,0,0,0,0,0
DR Smith,2009,2,1,cum1,Deccan Chargers,,AR,O,1,0,1,0,100000,3,45,41,3,15,109.7560976,5,1,0,0,0,4,69,83,5,7.217391304,16.6,13.8,0,0,8,1,25,3,0.146341463,0,109.7560976,15,0,0.542857143,4,7.217391304,16.6,13.8,0,0.130434783,0.362318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,210,191.3333333,14,5,109.7560976,23.33333333,4.666666667,0,0,0,42,241.5,290.5,17.5,7.217391304,16.6,13.8,0,0,28,3.5,87.5,42,0.146341463,0.666666667,109.7560976,5,0,0.542857143,42,7.217391304,16.6,13.8,0,0.130434783,0.362318841
FH Edwards,2009,2,1,cum1,Deccan Chargers,,Bowl,O,1,0,1,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
HH Gibbs,2009,2,1,cum1,Deccan Chargers,,Bat,O,1,0,1,0,575000,9,167,159,9,18.55555556,105.0314465,17,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.157232704,0,105.0314465,18.55555556,0,0.380597015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,259.7777778,247.3333333,14,6.185185185,105.0314465,26.44444444,12.44444444,3.111111111,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.157232704,0.666666667,105.0314465,6.185185185,0,0.380597015,42,0,0,0,0,0,0
RG Sharma,2009,2,1,cum1,Deccan Chargers,,Bat,I,0,0,1,0,750000,12,404,276,11,36.72727273,146.3768116,38,19,7,4,0,1,25,26,1,6.24,26,25,0,0,2,0,6,12,0.206521739,0.083333333,146.3768116,36.72727273,0.333333333,0.630136986,1,6.24,26,25,0,0.08,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,471.3333333,322,12.83333333,11.22222222,146.3768116,44.33333333,22.16666667,8.166666667,4.666666667,0,42,350,364,14,6.24,26,25,0,0,28,0,84,42,0.206521739,0.694444444,146.3768116,11.22222222,0.111111111,0.630136986,42,6.24,26,25,0,0.08,0.24
RP Singh,2009,2,1,cum1,Deccan Chargers,,Bowl,I,0,0,1,0,875000,9,27,25,4,6.75,108,2,1,0,0,0,14,325,459,15,8.473846154,30.6,21.66666667,0,0,56,12,122,9,0.12,0.555555556,108,6.75,0,0.590909091,14,8.473846154,30.6,21.66666667,0,0.209230769,0.375384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,38.88888889,6.222222222,1,108,3.111111111,1.555555556,0,0,0,42,325,459,15,8.473846154,30.6,21.66666667,0,0,56,12,122,42,0.12,0.851851852,108,1,0,0.590909091,42,8.473846154,30.6,21.66666667,0,0.209230769,0.375384615
SB Styris,2009,2,1,cum1,Deccan Chargers,,AR,O,1,0,1,0,175000,8,112,124,6,18.66666667,90.32258065,9,2,1,0,0,8,167,201,3,7.221556886,67,55.66666667,0,0,10,11,61,8,0.088709677,0.25,90.32258065,18.66666667,0,0.566371681,8,7.221556886,67,55.66666667,0,0.125748503,0.365269461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,196,217,10.5,4.666666667,90.32258065,15.75,3.5,1.75,0,0,42,292.25,351.75,5.25,7.221556886,67,55.66666667,0,0,17.5,19.25,106.75,42,0.088709677,0.75,90.32258065,4.666666667,0,0.566371681,42,7.221556886,67,55.66666667,0,0.125748503,0.365269461
VVS Laxman,2009,2,1,cum1,Deccan Chargers,,Bat,I,0,0,1,0,375000,6,155,134,5,31,115.6716418,22,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.171641791,0.166666667,115.6716418,31,0.166666667,0.54954955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,361.6666667,312.6666667,11.66666667,8.611111111,115.6716418,51.33333333,2.333333333,7,2.333333333,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.171641791,0.722222222,115.6716418,8.611111111,0.055555556,0.54954955,42,0,0,0,0,0,0
