Name2,Season,Season_num,PrevSeason_num,Cum_code,Team,Key,Type,Nationality,Overseas_player,WK,Star_player,Active_T20I,Price,Cum_LY_bat_I,Cum_LY_bat_R,Cum_LY_bat_B,Cum_LY_bat_Outs,Cum_LY_bat_Avg,Cum_LY_bat_SR,Cum_LY_bat_4s,Cum_LY_bat_6s,Cum_LY_bat_30plus,Cum_LY_bat_50plus,Cum_LY_bat_100plus,Cum_LY_bowl_I,Cum_LY_bowl_B,Cum_LY_bowl_R,Cum_LY_bowl_W,Cum_LY_bowl_Econ,Cum_LY_bowl_Avg,Cum_LY_bowl_SR,Cum_LY_bowl_4W,Cum_LY_bowl_5W,Cum_LY_bowl_4s,Cum_LY_bowl_6s,Cum_LY_bowl_Dots,Cum_LY_Bat_I,Cum_LY_HardHitter,Cum_LY_Finisher%,Cum_LY_46_scored,Cum_LY_Bat_avg,Cum_LY_50plus_scored,Cum_LY_RBW,Cum_LY_Bowl_I,Cum_LY_Bowl_Econ,Cum_LY_Bowl_Avg,Cum_LY_Bowl _SR,Cum_LY_BW Taker,Cum_LY_bowl_46_conc,Cum_LY_bowl_Dots%,Cum_IPL_agg_bat_I,Cum_IPL_agg_bat_R,Cum_IPL_agg_bat_B,Cum_IPL_agg_bat_Outs,Cum_IPL_agg_bat_Avg,Cum_IPL_agg_bat_SR,Cum_IPL_agg_bat_4s,Cum_IPL_agg_bat_6s,Cum_IPL_agg_bat_30plus,Cum_IPL_agg_bat_50plus,Cum_IPL_agg_bat_100plus,Cum_IPL_agg_bowl_I,Cum_IPL_agg_bowl_B,Cum_IPL_agg_bowl_R,Cum_IPL_agg_bowl_W,Cum_IPL_agg_bowl_Econ,Cum_IPL_agg_bowl_Avg,Cum_IPL_agg_bowl_SR,Cum_IPL_agg_bowl_4W,Cum_IPL_agg_bowl_5W,Cum_IPL_agg_bowl_4s,Cum_IPL_agg_bowl_6s,Cum_IPL_agg_bowl_Dots,Cum_IPL_bat_DM_Bat_I,Cum_IPL_bat_DM_HardHitter,Cum_IPL_bat_DM_Finisher%,Cum_IPL_bat_DM_46_scored,Cum_IPL_bat_DM_Bat_avg,Cum_IPL_bat_DM_50plus_scored,Cum_IPL_bat_DM_RBW,Cum_IPL_bowl_DM_Bowl_I,Cum_IPL_bowl_DM_Bowl_Econ,Cum_IPL_bowl_DM_Bowl_Avg,Cum_IPL_bowl_DM_Bowl _SR,Cum_IPL_bowl_DM_BW Taker,Cum_IPL_bowl_DM_46_conc,Cum_IPL_bowl_DM_Dots%,Weighted_LY_bat_I,Weighted_LY_bat_R,Weighted_LY_bat_B,Weighted_LY_bat_Outs,Weighted_LY_bat_Avg,Weighted_LY_bat_SR,Weighted_LY_bat_4s,Weighted_LY_bat_6s,Weighted_LY_bat_30plus,Weighted_LY_bat_50plus,Weighted_LY_bat_100plus,Weighted_LY_bowl_I,Weighted_LY_bowl_B,Weighted_LY_bowl_R,Weighted_LY_bowl_W,Weighted_LY_bowl_Econ,Weighted_LY_bowl_Avg,Weighted_LY_bowl_SR,Weighted_LY_bowl_4W,Weighted_LY_bowl_5W,Weighted_LY_bowl_4s,Weighted_LY_bowl_6s,Weighted_LY_bowl_Dots,Weighted_LY_bat_Bat_I,Weighted_LY_bat_HardHitter,Weighted_LY_bat_Finisher%,Weighted_LY_bat_46_scored,Weighted_LY_bat_Bat_avg,Weighted_LY_bat_50plus_scored,Weighted_LY_bat_RBW,Weighted_LY_bowl_Bowl_I,Weighted_LY_bowl_Bowl_Econ,Weighted_LY_bowl_Bowl_Avg,Weighted_LY_bowl_Bowl _SR,Weighted_LY_bowl_BW Taker,Weighted_LY_bowl_46_conc,Weighted_LY_bowl_Dots%
CL White,2013,6,5,cum5,Sunrisers Hyderabad,,Bat,O,1,0,1,0,1100000,13,479,327,11,43.54545455,146.4831804,41,20,7,5,0,2,20,27,0,8.1,0,0,0,0,1,1,1,13,0.186544343,0.153846154,146.4831804,43.54545455,0.384615385,0.733082707,2,8.1,0,0,0,0.1,0.05,32,745,574,24,31.04166667,129.7909408,58,29,11,5,0,4,34,70,0,12.35294118,0,0,0,0,4,5,3,32,0.151567944,0.25,129.7909408,31.04166667,0.15625,0.696098563,4,12.35294118,0,0,0,0.264705882,0.088235294,42,515.8461538,352.1538462,11.84615385,12.28205128,146.4831804,44.15384615,21.53846154,7.538461538,5.384615385,0,42,140,189,0,8.1,0,0,0,0,7,7,7,42,0.186544343,0.717948718,146.4831804,12.28205128,0.128205128,0.733082707,42,8.1,0,0,0,0.1,0.05
DJG Sammy,2013,6,5,cum5,Sunrisers Hyderabad,,AR,O,1,0,1,0,425000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
DW Steyn,2013,6,5,cum5,Sunrisers Hyderabad,,Bowl,O,1,0,1,0,1200000,5,19,21,5,3.8,90.47619048,0,1,0,0,0,12,289,290,18,6.020761246,16.11111111,16.05555556,0,0,35,2,138,5,0.047619048,0,90.47619048,3.8,0,0.65,12,6.020761246,16.11111111,16.05555556,0,0.128027682,0.477508651,17,70,83,15,4.666666667,84.3373494,5,1,0,0,0,52,1263,1336,59,6.346793349,22.6440678,21.40677966,0,0,154,19,579,17,0.072289157,0.117647059,84.3373494,4.666666667,0,0.571428571,52,6.346793349,22.6440678,21.40677966,0,0.136975455,0.458432304,42,53.2,58.8,14,1.266666667,90.47619048,0,2.8,0,0,0,42,337.1666667,338.3333333,21,6.020761246,16.11111111,16.05555556,0,0,40.83333333,2.333333333,161,42,0.047619048,0.666666667,90.47619048,1.266666667,0,0.65,42,6.020761246,16.11111111,16.05555556,0,0.128027682,0.477508651
I Sharma,2013,6,5,cum5,Sunrisers Hyderabad,,Bowl,I,0,0,1,0,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37,46,4,9.25,80.43478261,2,1,0,0,0,43,971,1217,36,7.520082389,33.80555556,26.97222222,1,1,146,25,415,14,0.065217391,0.714285714,80.43478261,9.25,0,0.534883721,43,7.520082389,33.80555556,26.97222222,0.027777778,0.176107106,0.427394439,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
KC Sangakkara,2013,6,5,cum5,Sunrisers Hyderabad,,WK,O,1,1,1,0,700000,12,200,190,11,18.18181818,105.2631579,21,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.131578947,0.083333333,105.2631579,18.18181818,0.083333333,0.557575758,0,0,0,0,0,0,0,59,1567,1287,56,27.98214286,121.7560218,182,27,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.162393162,0.050847458,121.7560218,27.98214286,0.169491525,0.628014842,0,0,0,0,0,0,0,42,233.3333333,221.6666667,12.83333333,5.555555556,105.2631579,24.5,4.666666667,2.333333333,1.166666667,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.131578947,0.694444444,105.2631579,5.555555556,0.027777778,0.557575758,42,0,0,0,0,0,0
NLTC Perera,2013,6,5,cum5,Sunrisers Hyderabad,,AR,O,1,0,1,0,650000,2,4,12,1,4,33.33333333,0,0,0,0,0,2,15,27,0,10.8,0,0,0,0,2,1,2,2,0,0.5,33.33333333,4,0,0.333333333,2,10.8,0,0,0,0.2,0.133333333,4,27,41,3,9,65.85365854,4,0,0,0,0,7,107,160,2,8.971962617,80,53.5,0,0,18,3,26,4,0.097560976,0.25,65.85365854,9,0,0.297297297,7,8.971962617,80,53.5,0,0.196261682,0.242990654,42,28,84,7,0.666666667,33.33333333,0,0,0,0,0,42,105,189,0,10.8,0,0,0,0,14,7,14,42,0,0.833333333,33.33333333,0.666666667,0,0.333333333,42,10.8,0,0,0,0.2,0.133333333
PA Patel,2013,6,5,cum5,Sunrisers Hyderabad,,WK,I,0,1,0,0,650000,12,194,166,11,17.63636364,116.8674699,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.138554217,0.083333333,116.8674699,17.63636364,0,0.657342657,0,0,0,0,0,0,0,51,912,884,45,20.26666667,103.1674208,111,13,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0.140271493,0.117647059,103.1674208,20.26666667,0.058823529,0.513157895,0,0,0,0,0,0,0,42,226.3333333,193.6666667,12.83333333,5.388888889,116.8674699,22.16666667,4.666666667,1.166666667,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.138554217,0.694444444,116.8674699,5.388888889,0,0.657342657,42,0,0,0,0,0,0
S Dhawan,2013,6,5,cum5,Sunrisers Hyderabad,,Bat,I,0,0,1,0,300000,15,569,448,14,40.64285714,127.0089286,58,18,8,5,0,4,37,60,3,9.72972973,20,12.33333333,0,0,7,2,12,15,0.169642857,0.066666667,127.0089286,40.64285714,0.333333333,0.615591398,4,9.72972973,20,12.33333333,0,0.243243243,0.324324324,57,1540,1297,49,31.42857143,118.7355436,166,36,17,13,0,6,49,72,4,8.816326531,18,12.25,0,0,7,3,17,57,0.155744025,0.140350877,118.7355436,31.42857143,0.228070175,0.602739726,6,8.816326531,18,12.25,0,0.204081633,0.346938776,42,531.0666667,418.1333333,13.06666667,12.64444444,127.0089286,54.13333333,16.8,7.466666667,4.666666667,0,42,129.5,210,10.5,9.72972973,20,12.33333333,0,0,24.5,7,42,42,0.169642857,0.688888889,127.0089286,12.64444444,0.111111111,0.615591398,42,9.72972973,20,12.33333333,0,0.243243243,0.324324324
A Nehra,2014,7,6,cum6,Chennai Super Kings,,Bowl,I,0,0,0,0,333000,4,1,8,4,0.25,12.5,0,0,0,0,0,10,221,319,11,8.660633484,29,20.09090909,0,0,33,13,84,4,0,0,12.5,0.25,0,0.125,10,8.660633484,29,20.09090909,0,0.208144796,0.380090498,12,39,55,6,6.5,70.90909091,3,1,0,0,0,54,1203,1543,59,7.695760599,26.15254237,20.38983051,0,0,164,46,479,12,0.072727273,0.5,70.90909091,6.5,0,0.411764706,54,7.695760599,26.15254237,20.38983051,0,0.174563591,0.398171239,42,3.5,28,14,0.083333333,12.5,0,0,0,0,0,42,309.4,446.6,15.4,8.660633484,29,20.09090909,0,0,46.2,18.2,117.6,42,0,0.666666667,12.5,0.083333333,0,0.125,42,8.660633484,29,20.09090909,0,0.208144796,0.380090498
BB McCullum,2014,7,6,cum6,Chennai Super Kings,,Bat,O,1,0,1,1,541000,19,515,402,19,27.10526316,128.1094527,52,18,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0.174129353,0,128.1094527,27.10526316,0.105263158,0.59939759,0,0,0,0,0,0,0,48,1240,1047,45,27.55555556,118.4336199,127,48,18,6,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0.167144222,0.0625,118.4336199,27.55555556,0.125,0.509174312,0,0,0,0,0,0,0,42,734.5333333,634.6666667,42,17.48888889,115.7352941,80.26666667,20.53333333,9.333333333,1.866666667,0.933333333,42,0,0,0,0,0,0,0,0,0,0,0,42,0.158823529,0,115.7352941,17.48888889,0.044444444,0.543706294,42,0,0,0,0,0,0
BW Hilfenhaus,2014,7,6,cum6,Chennai Super Kings,,Bowl,O,1,0,1,1,166000,2,0,2,1,0,0,0,0,0,0,0,3,67,63,4,5.641791045,15.75,16.75,0,0,9,0,37,2,0,0.5,0,0,0,0,3,5.641791045,15.75,16.75,0,0.134328358,0.552238806,0,0,0,0,0,0,0,0,0,0,0,9,215,242,14,6.753488372,17.28571429,15.35714286,0,0,23,9,103,0,0,0,0,0,0,0,9,6.753488372,17.28571429,15.35714286,0,0.148837209,0.479069767,42,0,28,14,0,0,0,0,0,0,0,42,595,567,35,5.717647059,16.2,17,0,0,84,0,336,42,0,0.666666667,0,0,0,0,42,5.717647059,16.2,17,0,0.141176471,0.564705882
DJ Bravo,2014,7,6,cum6,Chennai Super Kings,,AR,O,1,0,1,1,666667,28,503,427,20,25.15,117.7985948,31,22,6,2,0,32,648,851,44,7.87962963,19.34090909,14.72727273,1,0,63,32,214,28,0.12412178,0.285714286,117.7985948,25.15,0.071428571,0.660427807,32,7.87962963,19.34090909,14.72727273,0.03125,0.146604938,0.330246914,55,960,790,38,25.26315789,121.5189873,69,41,12,3,0,72,1438,1871,79,7.806675939,23.6835443,18.20253165,1,0,156,67,488,55,0.139240506,0.309090909,121.5189873,25.26315789,0.054545455,0.644117647,72,7.806675939,23.6835443,18.20253165,0.012658228,0.155076495,0.339360223,42,789.6111111,672.6666667,30.66666667,18.80026455,117.3851999,47.94444444,35.27777778,10.22222222,3.555555556,0,42,808.3055556,1071.777778,48.80555556,7.955737311,21.96015936,16.56175299,0.777777778,0,73.30555556,41.41666667,256.6666667,42,0.123719855,0.26984127,117.3851999,18.80026455,0.084656085,0.655136664,42,7.955737311,21.96015936,16.56175299,0.018518519,0.141929276,0.317536685
DJ Hussey,2014,7,6,cum6,Chennai Super Kings,,Bat,O,1,0,1,1,1400000,29,643,537,26,24.73076923,119.7392924,48,20,10,1,0,16,236,302,9,7.677966102,33.55555556,26.22222222,0,0,22,8,71,29,0.126629423,0.103448276,119.7392924,24.73076923,0.034482759,0.70575693,16,7.677966102,33.55555556,26.22222222,0,0.127118644,0.300847458,57,1206,1005,47,25.65957447,120,82,54,17,4,0,25,305,447,6,8.793442623,74.5,50.83333333,0,0,28,22,81,57,0.135323383,0.175438596,120,25.65957447,0.070175439,0.637514384,25,8.793442623,74.5,50.83333333,0,0.163934426,0.26557377,42,878.9242424,749.1060606,38.39393939,20.92676768,117.3297466,61.62121212,29.8030303,13.15151515,1.166666667,0,42,605.5,773.5,19.25,7.664739884,40.18181818,31.45454545,0,0,56,22.75,187.25,42,0.122044457,0.085858586,117.3297466,20.92676768,0.027777778,0.689727463,42,7.664739884,40.18181818,31.45454545,0,0.130057803,0.309248555
DR Smith,2014,7,6,cum6,Chennai Super Kings,,AR,O,1,0,1,1,750000,25,761,592,25,30.44,128.5472973,71,41,12,7,0,11,152,216,6,8.526315789,36,25.33333333,0,0,25,6,53,25,0.189189189,0,128.5472973,30.44,0.28,0.48125,11,8.526315789,36,25.33333333,0,0.203947368,0.348684211,33,857,653,30,28.56666667,131.2404288,76,43,13,5,0,23,288,404,11,8.416666667,36.72727273,26.18181818,0,0,41,12,92,33,0.182235835,0.090909091,131.2404288,28.56666667,0.151515152,0.552434457,23,8.416666667,36.72727273,26.18181818,0,0.184027778,0.319444444,42,1251.353846,933.6,42,29.79413919,134.0353306,116.2769231,70.86153846,19.93846154,11.10769231,0,42,513.3333333,772.3333333,18.66666667,9.027272727,41.375,27.5,0,0,93.33333333,18.66666667,154,42,0.200448224,0,134.0353306,29.79413919,0.264468864,0.483718054,42,9.027272727,41.375,27.5,0,0.218181818,0.3
F du Plessis,2014,7,6,cum6,Chennai Super Kings,,Bat,O,1,0,1,1,791000,12,308,252,9,34.22222222,122.2222222,27,6,4,2,0,7,95,104,9,6.568421053,11.55555556,10.55555556,2,1,7,6,45,12,0.130952381,0.25,122.2222222,34.22222222,0.166666667,0.748858447,7,6.568421053,11.55555556,10.55555556,0.285714286,0.136842105,0.473684211,12,398,310,12,33.16666667,128.3870968,29,17,6,3,0,1,6,16,0,16,0,0,0,0,0,2,0,12,0.148387097,0,128.3870968,33.16666667,0.25,0.681818182,1,16,0,0,0,0.333333333,0,42,708.8,591.2,20.4,16.87619048,119.8917456,58.8,14.4,8.8,4,0,42,299.6,303.8,25.2,6.08411215,12.05555556,11.88888889,5.6,2.8,19.6,16.8,147,42,0.123815968,0.514285714,119.8917456,16.87619048,0.095238095,0.747490347,42,6.08411215,12.05555556,11.88888889,0.133333333,0.121495327,0.490654206
IC Pandey,2014,7,6,cum6,Chennai Super Kings,,Bowl,I,0,0,0,0,250000,1,0,2,1,0,0,0,0,0,0,0,2,25,50,1,12,50,25,0,0,10,0,7,1,0,0,0,0,0,0,2,12,50,25,0,0.4,0.28,1,0,2,1,0,0,0,0,0,0,0,2,25,50,1,12,50,25,0,0,10,0,7,1,0,0,0,0,0,0,2,12,50,25,0,0.4,0.28,42,0,28,14,0,0,0,0,0,0,0,42,175,350,7,12,50,25,0,0,70,0,49,42,0,0.666666667,0,0,0,0,42,12,50,25,0,0.4,0.28
JW Hastings,2014,7,6,cum6,Chennai Super Kings,,Bowl,O,1,0,1,0,83000,3,9,13,3,3,69.23076923,0,0,0,0,0,3,67,103,2,9.223880597,51.5,33.5,0,0,12,3,22,3,0,0,69.23076923,3,0,0.692307692,3,9.223880597,51.5,33.5,0,0.223880597,0.328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,60.66666667,14,1,69.23076923,0,0,0,0,0,42,312.6666667,480.6666667,9.333333333,9.223880597,51.5,33.5,0,0,56,14,102.6666667,42,0,0.666666667,69.23076923,1,0,0.692307692,42,9.223880597,51.5,33.5,0,0.223880597,0.328358209
M Manhas,2014,7,6,cum6,Chennai Super Kings,,AR,I,0,0,0,0,50000,2,13,17,0,0,76.47058824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.058823529,1,76.47058824,0,0,0.5625,0,0,0,0,0,0,0,33,479,460,21,22.80952381,104.1304348,40,9,5,0,0,3,42,42,0,6,0,0,0,0,2,1,15,33,0.106521739,0.363636364,104.1304348,22.80952381,0,0.644768856,3,6,0,0,0,0.071428571,0.357142857,42,91,119,0,2.166666667,76.47058824,7,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.058823529,1,76.47058824,2.166666667,0,0.5625,42,0,0,0,0,0,0
MM Sharma,2014,7,6,cum6,Chennai Super Kings,,Bowl,I,0,0,0,0,333000,2,0,5,1,0,0,0,0,0,0,0,15,311,327,20,6.308681672,16.35,15.55,0,0,44,7,161,2,0,0.5,0,0,0,0,15,6.308681672,16.35,15.55,0,0.163987138,0.517684887,2,0,5,1,0,0,0,0,0,0,0,15,311,327,20,6.308681672,16.35,15.55,0,0,44,7,161,2,0,0.5,0,0,0,0,15,6.308681672,16.35,15.55,0,0.163987138,0.517684887,42,0,35,7,0,0,0,0,0,0,0,42,290.2666667,305.2,18.66666667,6.308681672,16.35,15.55,0,0,41.06666667,6.533333333,150.2666667,42,0,0.833333333,0,0,0,0,42,6.308681672,16.35,15.55,0,0.163987138,0.517684887
MS Dhoni,2014,7,6,cum6,Chennai Super Kings,,WK,I,0,1,1,1,2083333,28,729,521,16,45.5625,139.9232246,56,31,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.166986564,0.428571429,139.9232246,45.5625,0.142857143,0.735023041,0,0,0,0,0,0,0,84,2244,1632,59,38.03389831,137.5,169,89,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0.158088235,0.297619048,137.5,38.03389831,0.154761905,0.752547307,0,0,0,0,0,0,0,42,716.0416667,520.9166667,15.45833333,17.04861111,137.4580067,56,28.875,9.625,3.5,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.162933931,0.631944444,137.4580067,17.04861111,0.083333333,0.731103679,42,0,0,0,0,0,0
P Negi,2014,7,6,cum6,Chennai Super Kings,,AR,I,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,1,26,28,0,6.461538462,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,6.461538462,0,0,0,0.038461538,0.115384615,4,36,30,2,18,120,4,1,0,0,0,7,159,181,7,6.830188679,25.85714286,22.71428571,1,0,10,7,52,4,0.166666667,0.5,120,18,0,0.56,7,6.830188679,25.85714286,22.71428571,0.142857143,0.106918239,0.327044025,42,0,0,0,0,0,0,0,0,0,0,42,364,392,0,6.461538462,0,0,0,0,14,0,42,42,0,1,0,0,0,0,42,6.461538462,0,0,0,0.038461538,0.115384615
R Ashwin,2014,7,6,cum6,Chennai Super Kings,,AR,I,0,0,1,1,1250000,8,67,82,5,13.4,81.70731707,6,1,0,0,0,30,643,739,25,6.895800933,29.56,25.72,0,0,33,34,219,8,0.085365854,0.375,81.70731707,13.4,0,0.493333333,30,6.895800933,29.56,25.72,0,0.104199067,0.34059098,19,93,126,14,6.642857143,73.80952381,9,0,0,0,0,65,1462,1556,64,6.385772914,24.3125,22.84375,0,0,99,49,554,19,0.071428571,0.263157895,73.80952381,6.642857143,0,0.487179487,65,6.385772914,24.3125,22.84375,0,0.10123119,0.378932969,42,247.3333333,289.3333333,15.86666667,5.888888889,85.48387097,20.53333333,4.666666667,0,0,0,42,612.5,707.7777778,23.33333333,6.933333333,30.33333333,26.25,0,0,30.72222222,33.05555556,208.4444444,42,0.087096774,0.622222222,85.48387097,5.888888889,0,0.519434629,42,6.933333333,30.33333333,26.25,0,0.104126984,0.34031746
RA Jadeja,2014,7,6,cum6,Chennai Super Kings,,AR,I,0,0,1,1,916667,16,210,151,10,21,139.0728477,18,6,2,0,0,19,328,418,14,7.646341463,29.85714286,23.42857143,0,0,23,22,112,16,0.158940397,0.375,139.0728477,21,0,0.803149606,19,7.646341463,29.85714286,23.42857143,0,0.137195122,0.341463415,62,1105,910,47,23.5106383,121.4285714,82,41,12,0,0,55,896,1088,39,7.285714286,27.8974359,22.97435897,1,1,66,42,298,62,0.135164835,0.241935484,121.4285714,23.5106383,0,0.674714104,55,7.285714286,27.8974359,22.97435897,0.025641026,0.120535714,0.332589286,42,264,223,22,6.285714286,118.3856502,24,6,2,0,0,42,475.5333333,626.2666667,15.63333333,7.901864573,40.05970149,30.41791045,0,0,34.3,33.36666667,148.1666667,42,0.134529148,0.476190476,118.3856502,6.285714286,0,0.683937824,42,7.901864573,40.05970149,30.41791045,0,0.142296369,0.31157998
S Badree,2014,7,6,cum6,Chennai Super Kings,,Bowl,O,1,0,1,1,50000,2,3,13,2,1.5,23.07692308,0,0,0,0,0,8,197,208,6,6.335025381,34.66666667,32.83333333,0,0,21,2,80,2,0,0,23.07692308,1.5,0,0.230769231,8,6.335025381,34.66666667,32.83333333,0,0.116751269,0.406091371,0,0,0,0,0,0,0,0,0,0,0,1,25,35,0,8.4,0,0,0,0,3,1,7,0,0,0,0,0,0,0,1,8.4,0,0,0,0.16,0.28,42,42,182,28,1,23.07692308,0,0,0,0,0,42,1043,1173.666667,25.66666667,6.751677852,45.72727273,40.63636364,0,0,119,16.33333333,385,42,0,0.333333333,23.07692308,1,0,0.230769231,42,6.751677852,45.72727273,40.63636364,0,0.129753915,0.369127517
SK Raina,2014,7,6,cum6,Chennai Super Kings,,AR,I,0,0,1,1,1583333,28,805,580,20,40.25,138.7931034,76,22,12,5,1,6,72,117,4,9.75,29.25,18,0,0,5,8,17,28,0.168965517,0.285714286,138.7931034,40.25,0.178571429,0.765560166,6,9.75,29.25,18,0,0.180555556,0.236111111,95,2810,2049,81,34.69135802,137.1400683,239,116,40,19,1,45,604,718,21,7.132450331,34.19047619,28.76190476,0,0,43,27,186,95,0.173255246,0.147368421,137.1400683,34.69135802,0.2,0.683589138,45,7.132450331,34.19047619,28.76190476,0,0.11589404,0.30794702,42,778.3850267,571.9786096,19.61497326,18.53297683,136.0863874,74.26737968,19.9144385,11.67914439,4.117647059,0.823529412,42,294,490,17.5,10,28,16.8,0,0,21,35,66.5,42,0.164659686,0.532976827,136.0863874,18.53297683,0.098039216,0.757286117,42,10,28,16.8,0,0.19047619,0.226190476
V Shankar,2014,7,6,cum6,Chennai Super Kings,,AR,I,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,42,0,0,0,0,0,0
JD Unadkat,2014,7,6,cum6,Delhi Daredevils,,Bowl,I,0,0,0,0,466000,2,2,2,0,0,100,0,0,0,0,0,13,299,373,13,7.484949833,28.69230769,23,1,1,40,7,102,2,0,1,100,0,0,1,13,7.484949833,28.69230769,23,0.076923077,0.157190635,0.341137124,2,2,2,0,0,100,0,0,0,0,0,23,490,641,23,7.848979592,27.86956522,21.30434783,1,1,64,17,164,2,0,1,100,0,0,1,23,7.848979592,27.86956522,21.30434783,0.043478261,0.165306122,0.334693878,42,14,14,0,0.333333333,100,0,0,0,0,0,42,322,401.6923077,14,7.484949833,28.69230769,23,1.076923077,1.076923077,43.07692308,7.538461538,109.8461538,42,0,1,100,0.333333333,0,1,42,7.484949833,28.69230769,23,0.025641026,0.157190635,0.341137124
JDS Neesham,2014,7,6,cum6,Delhi Daredevils,,AR,O,1,0,1,1,166000,2,22,17,2,11,129.4117647,4,0,0,0,0,2,22,38,0,10.36363636,0,0,0,0,3,1,1,2,0.235294118,0,129.4117647,11,0,0.461538462,2,10.36363636,0,0,0,0.181818182,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,154,119,14,3.666666667,129.4117647,28,0,0,0,0,42,154,266,0,10.36363636,0,0,0,0,21,7,7,42,0.235294118,0.666666667,129.4117647,3.666666667,0,0.461538462,42,10.36363636,0,0,0,0.181818182,0.045454545
JP Duminy,2014,7,6,cum6,Delhi Daredevils,,Bat,O,1,0,1,1,366000,8,237,211,6,39.5,112.3222749,16,5,5,0,0,6,66,72,2,6.545454545,36,33,0,0,4,2,18,8,0.099526066,0.25,112.3222749,39.5,0,0.752631579,6,6.545454545,36,33,0,0.090909091,0.272727273,38,978,839,27,36.22222222,116.5673421,61,35,13,8,0,22,329,386,10,7.039513678,38.6,32.9,0,0,22,18,123,38,0.114421931,0.289473684,116.5673421,36.22222222,0.210526316,0.705248991,22,7.039513678,38.6,32.9,0,0.121580547,0.373860182,42,414.75,369.25,10.5,9.875,112.3222749,28,8.75,8.75,0,0,42,154,168,4.666666667,6.545454545,36,33,0,0,9.333333333,4.666666667,42,42,0.099526066,0.75,112.3222749,9.875,0,0.752631579,42,6.545454545,36,33,0,0.090909091,0.272727273
KD Karthik,2014,7,6,cum6,Delhi Daredevils,,WK,I,0,1,1,0,2083000,19,510,422,18,28.33333333,120.8530806,54,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.161137441,0.052631579,120.8530806,28.33333333,0.105263158,0.593220339,0,0,0,0,0,0,0,81,1741,1438,69,25.23188406,121.0709318,175,42,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0.150904033,0.148148148,121.0709318,25.23188406,0.074074074,0.646191646,0,0,0,0,0,0,0,42,375.7894737,310.9473684,13.26315789,8.947368421,120.8530806,39.78947368,10.31578947,5.894736842,1.473684211,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0.161137441,0.684210526,120.8530806,8.947368421,0.035087719,0.593220339,42,0,0,0,0,0,0
